year,disc,ring.width_mm
1992,H21B,0.3
1993,H21B,0.446
1994,H21B,0.289
1995,H21B,0.376
1996,H21B,0.359
1997,H21B,0.065
1998,H21B,0.251
1999,H21B,0.182
2000,H21B,0.115
2001,H21B,0.333
2002,H21B,0.205
2003,H21B,0.067
2004,H21B,0.081
2005,H21B,0.039
2006,H21B,0.266
1944,H5B,0.063
1945,H5B,0.068
1946,H5B,0.068
1947,H5B,0.076
1948,H5B,0.082
1949,H5B,0.096
1950,H5B,0.084
1951,H5B,0.038
1952,H5B,0.056
1953,H5B,0.081
1954,H5B,0.107
1955,H5B,0.13
1956,H5B,0.148
1957,H5B,0.134
1958,H5B,0.091
1959,H5B,0.086
1960,H5B,0.039
1961,H5B,0.098
1962,H5B,0.12
1963,H5B,0.167
1964,H5B,0.119
1965,H5B,0.132
1966,H5B,0.225
1967,H5B,0.196
1968,H5B,0.228
1969,H5B,0.263
1970,H5B,0.211
1971,H5B,0.189
1972,H5B,0.168
1973,H5B,0.084
1974,H5B,0.182
1975,H5B,0.162
1976,H5B,0.069
1977,H5B,0.042
1978,H5B,0.069
1979,H5B,0.174
1980,H5B,0.097
1981,H5B,0.058
1982,H5B,0.245
1983,H5B,0.148
1984,H5B,0.119
1985,H5B,0.37
1986,H5B,0.103
1987,H5B,0.194
1988,H5B,0.247
1989,H5B,0.307
1990,H5B,0.254
1991,H5B,0.396
1992,H5B,0.472
1993,H5B,0.41
1994,H5B,0.447
1995,H5B,0.451
1996,H5B,0.084
1997,H5B,0.059
1998,H5B,0.233
1999,H5B,0.173
2000,H5B,0.149
2001,H5B,0.199
2002,H5B,0.31
2003,H5B,0.145
2004,H5B,0.071
1949,H7B,0.326
1950,H7B,0.408
1951,H7B,0.208
1952,H7B,0.22
1953,H7B,0.233
1954,H7B,0.22
1955,H7B,0.204
1956,H7B,0.178
1957,H7B,0.182
1958,H7B,0.177
1959,H7B,0.1
1960,H7B,0.062
1961,H7B,0.083
1962,H7B,0.065
1963,H7B,0.159
1964,H7B,0.062
1965,H7B,0.045
1966,H7B,0.054
1967,H7B,0.044
1968,H7B,0.123
1969,H7B,0.24
1970,H7B,0.236
1971,H7B,0.432
1972,H7B,0.053
1973,H7B,0.235
1974,H7B,0.21
1975,H7B,0.048
1976,H7B,0.188
1977,H7B,0.168
1978,H7B,0.316
1979,H7B,0.267
1980,H7B,0.372
1981,H7B,0.302
1982,H7B,0.014
1983,H7B,0.216
1984,H7B,0.4
1985,H7B,0.374
1986,H7B,0.344
1987,H7B,0.675
1988,H7B,0.617
1989,H7B,0.529
1990,H7B,0.679
1991,H7B,0.75
1992,H7B,0.424
1993,H7B,0.766
1994,H7B,0.411
1995,H7B,0.375
1996,H7B,0.363
1997,H7B,0.473
1998,H7B,0.48
1999,H7B,0.368
2000,H7B,0.329
2001,H7B,0.349
2002,H7B,0.338
2003,H7B,0.124
2004,H7B,0.172
1941,H8B,0.123
1942,H8B,0.137
1943,H8B,0.098
1944,H8B,0.114
1945,H8B,0.095
1946,H8B,0.079
1947,H8B,0.088
1948,H8B,0.067
1949,H8B,0.083
1950,H8B,0.057
1951,H8B,0.071
1952,H8B,0.059
1953,H8B,0.02
1954,H8B,0.08
1955,H8B,0.083
1956,H8B,0.091
1957,H8B,0.071
1958,H8B,0.06
1959,H8B,0.048
1960,H8B,0.063
1961,H8B,0.069
1962,H8B,0.017
1963,H8B,0.049
1964,H8B,0.055
1965,H8B,0.048
1966,H8B,0.041
1967,H8B,0.032
1968,H8B,0.058
1969,H8B,0.099
1970,H8B,0.006
1971,H8B,0.128
1972,H8B,0.035
1973,H8B,0.085
1974,H8B,0.064
1975,H8B,0.03
1976,H8B,0.096
1977,H8B,0.076
