year,disc,ring.width_mm
1996,L14B,0.121
1997,L14B,0.249
1998,L14B,0.203
1999,L14B,0.102
2000,L14B,0.068
2001,L14B,0.201
2002,L14B,0.167
2003,L14B,0.078
2004,L14B,0.114
2005,L14B,0.114
2006,L14B,0.131
2007,L14B,0.172
2008,L14B,0.117
2009,L14B,0.069
2010,L14B,0.03
1973,L15B,0.217
1974,L15B,0.144
1975,L15B,0.185
1976,L15B,0.199
1977,L15B,0.138
1978,L15B,0.138
1979,L15B,0.154
1980,L15B,0.134
1981,L15B,0.275
1982,L15B,0.035
1983,L15B,0.209
1984,L15B,0.219
1985,L15B,0.19
1986,L15B,0.116
1987,L15B,0.111
1988,L15B,0.198
1989,L15B,0.21
1990,L15B,0.21
1991,L15B,0.132
1992,L15B,0.261
1993,L15B,0.247
1994,L15B,0.267
1995,L15B,0.226
1996,L15B,0.18
1997,L15B,0.026
1998,L15B,0.203
1999,L15B,0.179
2000,L15B,0.114
2001,L15B,0.091
2002,L15B,0.15
2003,L15B,0.137
2004,L15B,0.058
2005,L15B,0.077
2006,L15B,0.023
2007,L15B,0.097
2008,L15B,0.097
2009,L15B,0.084
2010,L15B,0.052
1978,L16B,0.321
1979,L16B,0.319
1980,L16B,0.278
1981,L16B,0.021
1982,L16B,0.213
1983,L16B,0.13
1984,L16B,0.171
1985,L16B,0.225
1986,L16B,0.116
1987,L16B,0.238
1988,L16B,0.126
1989,L16B,0.15
1990,L16B,0.153
1991,L16B,0.193
1992,L16B,0.198
1993,L16B,0.197
1994,L16B,0.161
1995,L16B,0.146
1996,L16B,0.051
1997,L16B,0.195
1998,L16B,0.182
1999,L16B,0.184
2000,L16B,0.123
2001,L16B,0.173
2002,L16B,0.207
2003,L16B,0.136
2004,L16B,0.177
2005,L16B,0.095
2006,L16B,0.207
2007,L16B,0.258
2008,L16B,0.174
2009,L16B,0.109
2010,L16B,0.09
1935,S18B,0.092
1936,S18B,0.049
1937,S18B,0.03
1938,S18B,0.037
1939,S18B,0.045
1940,S18B,0.063
1941,S18B,0.062
1942,S18B,0.066
1943,S18B,0.058
1944,S18B,0.057
1945,S18B,0.093
1946,S18B,0.101
1947,S18B,0.083
1948,S18B,0.062
1949,S18B,0.098
1950,S18B,0.108
1951,S18B,0.102
1952,S18B,0.134
1953,S18B,0.108
1954,S18B,0.054
1955,S18B,0.064
1956,S18B,0.073
1957,S18B,0.049
1958,S18B,0.086
1959,S18B,0.068
1960,S18B,0.086
1961,S18B,0.078
1962,S18B,0.05
1963,S18B,0.043
1964,S18B,0.038
1965,S18B,0.051
1966,S18B,0.089
1967,S18B,0.106
1968,S18B,0.06
1969,S18B,0.076
1970,S18B,0.053
1971,S18B,0.031
1972,S18B,0.075
1973,S18B,0.102
1974,S18B,0.119
1975,S18B,0.089
1976,S18B,0.034
1977,S18B,0.047
1978,S18B,0.027
1979,S18B,0.017
1980,S18B,0.051
1981,S18B,0.064
1982,S18B,0.11
1983,S18B,0.097
1984,S18B,0.024
1985,S18B,0.086
1986,S18B,0.067
1987,S18B,0.058
1988,S18B,0.117
1989,S18B,0.098
1990,S18B,0.157
1991,S18B,0.086
1992,S18B,0.157
1993,S18B,0.114
1994,S18B,0.112
1995,S18B,0.082
1996,S18B,0.062
1997,S18B,0.059
1998,S18B,0.047
1999,S18B,0.081
2000,S18B,0.043
2001,S18B,0.103
2002,S18B,0.132
2003,S18B,0.159
2004,S18B,0.117
2005,S18B,0.034
2006,S18B,0.085
1971,S19B,0.158
1972,S19B,0.418
1973,S19B,0.099
1974,S19B,0.16
1975,S19B,0.091
1976,S19B,0.02
1977,S19B,0.117
1978,S19B,0.198
1979,S19B,0.084
1980,S19B,0.09
1981,S19B,0.157
1982,S19B,0.091
1983,S19B,0.103
1984,S19B,0.233
1985,S19B,0.22
1986,S19B,0.21
1987,S19B,0.164
1988,S19B,0.19
1989,S19B,0.232
1990,S19B,0.25
1991,S19B,0.282
1992,S19B,0.355
1993,S19B,0.49
1994,S19B,0.514
1995,S19B,0.526
1996,S19B,0.429
1997,S19B,0.275
1998,S19B,0.337
1999,S19B,0.228
2000,S19B,0.302
2001,S19B,0.343
2002,S19B,0.382
2003,S19B,0.425
2004,S19B,0.31
2005,S19B,0.054
2006,S19B,0.3
1936,S20B,0.121
1937,S20B,0.249
1938,S20B,0.144
1939,S20B,0.134
1940,S20B,0.069
1941,S20B,0.062
1942,S20B,0.02
1943,S20B,0.159
1944,S20B,0.076
1945,S20B,0.111
1946,S20B,0.132
1947,S20B,0.15
1948,S20B,0.058
1949,S20B,0.029
1950,S20B,0.041
1951,S20B,0.045
1952,S20B,0.058
1953,S20B,0.101
1954,S20B,0.083
1955,S20B,0.023
1956,S20B,0.027
1957,S20B,0.043
1958,S20B,0.084
1959,S20B,0.106
1960,S20B,0.112
1961,S20B,0.066
1962,S20B,0.039
1963,S20B,0.057
1964,S20B,0.052
1965,S20B,0.093
1966,S20B,0.155
1967,S20B,0.056
1968,S20B,0.133
1969,S20B,0.133
1970,S20B,0.041
1971,S20B,0.054
1972,S20B,0.079
1973,S20B,0.055
1974,S20B,0.12
1975,S20B,0.039
1976,S20B,0.085
1977,S20B,0.052
1978,S20B,0.012
1979,S20B,0.072
1980,S20B,0.088
1981,S20B,0.008
1982,S20B,0.05
1983,S20B,0.061
1984,S20B,0.075
1985,S20B,0.052
1986,S20B,0.028
1987,S20B,0.154
1988,S20B,0.094
1989,S20B,0.075
1990,S20B,0.098
1991,S20B,0.101
1992,S20B,0.116
1993,S20B,0.088
1994,S20B,0.096
1995,S20B,0.136
1996,S20B,0.131
1997,S20B,0.078
1998,S20B,0.078
1999,S20B,0.014
2000,S20B,0.063
2001,S20B,0.036
2002,S20B,0.039
2003,S20B,0.066
2004,S20B,0.043
2005,S20B,0.023
2006,S20B,0.054
1980,S21B,0.246
1981,S21B,0.298
1982,S21B,0.068
1983,S21B,0.047
1984,S21B,0.212
1985,S21B,0.283
1986,S21B,0.283
1987,S21B,0.37
1988,S21B,0.316
1989,S21B,0.389
1990,S21B,0.258
1991,S21B,0.373
1992,S21B,0.246
1993,S21B,0.459
1994,S21B,0.275
1995,S21B,0.397
1996,S21B,0.276
1997,S21B,0.116
1998,S21B,0.254
1999,S21B,0.191
2000,S21B,0.325
2001,S21B,0.54
2002,S21B,0.293
2003,S21B,0.202
2004,S21B,0.077
2005,S21B,0.017
2006,S21B,0.264
1968,S23B,0.189
1969,S23B,0.133
1970,S23B,0.138
1971,S23B,0.246
1972,S23B,0.146
1973,S23B,0.141
1974,S23B,0.263
1975,S23B,0.06
1976,S23B,0.069
1977,S23B,0.072
1978,S23B,0.031
1979,S23B,0.045
1980,S23B,0.09
1981,S23B,0.134
1982,S23B,0.256
1983,S23B,0.055
1984,S23B,0.037
1985,S23B,0.133
1986,S23B,0.107
1987,S23B,0.125
1988,S23B,0.23
1989,S23B,0.163
1990,S23B,0.227
1991,S23B,0.169
1992,S23B,0.208
1993,S23B,0.159
1994,S23B,0.2
1995,S23B,0.207
1996,S23B,0.179
1997,S23B,0.178
1998,S23B,0.144
1999,S23B,0.158
2000,S23B,0.082
2001,S23B,0.108
2002,S23B,0.207
2003,S23B,0.183
2004,S23B,0.139
2005,S23B,0.067
2006,S23B,0.109
1951,S2B,0.133
1952,S2B,0.082
1953,S2B,0.061
1954,S2B,0.074
1955,S2B,0.08
1956,S2B,0.097
1957,S2B,0.154
1958,S2B,0.125
1959,S2B,0.135
1960,S2B,0.148
1961,S2B,0.079
1962,S2B,0.053
1963,S2B,0.055
1964,S2B,0.055
1965,S2B,0.117
1966,S2B,0.128
1967,S2B,0.081
1968,S2B,0.192
1969,S2B,0.116
1970,S2B,0.103
1971,S2B,0.072
1972,S2B,0.093
1973,S2B,0.079
1974,S2B,0.13
1975,S2B,0.03
1976,S2B,0.114
1977,S2B,0.119
1978,S2B,0.082
1979,S2B,0.04
1980,S2B,0.13
1981,S2B,0.065
1982,S2B,0.185
1983,S2B,0.05
1984,S2B,0.042
1985,S2B,0.078
1986,S2B,0.092
1987,S2B,0.169
1988,S2B,0.192
1989,S2B,0.059
1990,S2B,0.144
1991,S2B,0.206
1992,S2B,0.118
1993,S2B,0.124
1994,S2B,0.119
1995,S2B,0.13
1996,S2B,0.179
1997,S2B,0.279
1998,S2B,0.206
1999,S2B,0.16
2000,S2B,0.076
2001,S2B,0.1
2002,S2B,0.12
2003,S2B,0.132
2004,S2B,0.151
1950,S31B,0.112
1951,S31B,0.179
1952,S31B,0.073
1953,S31B,0.073
1954,S31B,0.074
1955,S31B,0.094
1956,S31B,0.058
1957,S31B,0.09
1958,S31B,0.092
1959,S31B,0.074
1960,S31B,0.038
1961,S31B,0.061
1962,S31B,0.097
1963,S31B,0.053
1964,S31B,0.164
1965,S31B,0.256
1966,S31B,0.038
1967,S31B,0.229
1968,S31B,0.237
1969,S31B,0.177
1970,S31B,0.225
1971,S31B,0.381
1972,S31B,0.473
1973,S31B,0.691
1974,S31B,0.142
1975,S31B,0.26
1976,S31B,0.198
1977,S31B,0.035
1978,S31B,0.07
1979,S31B,0.05
1980,S31B,0.175
1981,S31B,0.194
1982,S31B,0.256
1983,S31B,0.232
1984,S31B,0.019
1985,S31B,0.128
1986,S31B,0.059
1987,S31B,0.184
1988,S31B,0.229
1989,S31B,0.224
1990,S31B,0.249
1991,S31B,0.236
1992,S31B,0.334
1993,S31B,0.293
1994,S31B,0.167
1995,S31B,0.2
1996,S31B,0.181
1997,S31B,0.192
1998,S31B,0.146
1999,S31B,0.111
2000,S31B,0.097
2001,S31B,0.097
2002,S31B,0.204
2003,S31B,0.202
2004,S31B,0.164
2005,S31B,0.154
2006,S31B,0.068
1951,S32B,0.17
1952,S32B,0.121
1953,S32B,0.089
1954,S32B,0.084
1955,S32B,0.092
1956,S32B,0.084
1957,S32B,0.116
1958,S32B,0.128
1959,S32B,0.165
1960,S32B,0.132
1961,S32B,0.13
1962,S32B,0.143
1963,S32B,0.078
1964,S32B,0.239
1965,S32B,0.201
1966,S32B,0.088
1967,S32B,0.352
1968,S32B,0.199
1969,S32B,0.064
1970,S32B,0.17
1971,S32B,0.241
1972,S32B,0.333
1973,S32B,0.419
1974,S32B,0.075
1975,S32B,0.071
1976,S32B,0.106
1977,S32B,0.03
1978,S32B,0.047
1979,S32B,0.053
1980,S32B,0.132
1981,S32B,0.102
1982,S32B,0.193
1983,S32B,0.215
1984,S32B,0.017
1985,S32B,0.181
1986,S32B,0.101
1987,S32B,0.184
1988,S32B,0.229
1989,S32B,0.202
1990,S32B,0.222
1991,S32B,0.212
1992,S32B,0.258
1993,S32B,0.227
1994,S32B,0.177
1995,S32B,0.17
1996,S32B,0.177
1997,S32B,0.224
1998,S32B,0.146
1999,S32B,0.111
2000,S32B,0.079
2001,S32B,0.104
2002,S32B,0.163
2003,S32B,0.133
2004,S32B,0.104
2005,S32B,0.096
2006,S32B,0.01
1987,T1B18,0.222
1988,T1B18,0.301
1989,T1B18,0.21
1990,T1B18,0.265
1991,T1B18,0.376
1992,T1B18,0.269
1993,T1B18,0.351
1994,T1B18,0.382
1995,T1B18,0.294
1996,T1B18,0.05
1997,T1B18,0.127
1998,T1B18,0.199
1999,T1B18,0.176
2000,T1B18,0.145
2001,T1B18,0.21
2002,T1B18,0.215
2003,T1B18,0.154
2004,T1B18,0.12
2005,T1B18,0.022
2006,T1B18,0.11
2007,T1B18,0.167
2008,T1B18,0.114
2009,T1B18,0.141
2010,T1B18,0.129
2011,T1B18,0.049
2012,T1B18,0.189
2013,T1B18,0.169
1984,T1B30,0.16
1985,T1B30,0.11
1986,T1B30,0.097
1987,T1B30,0.282
1988,T1B30,0.241
1989,T1B30,0.103
1990,T1B30,0.2
1991,T1B30,0.368
1992,T1B30,0.183
1993,T1B30,0.197
1994,T1B30,0.17
1995,T1B30,0.179
1996,T1B30,0.107
1997,T1B30,0.124
1998,T1B30,0.159
1999,T1B30,0.167
2000,T1B30,0.139
2001,T1B30,0.111
2002,T1B30,0.169
2003,T1B30,0.113
2004,T1B30,0.154
2005,T1B30,0.068
2006,T1B30,0.078
2007,T1B30,0.121
2008,T1B30,0.186
2009,T1B30,0.193
2010,T1B30,0.125
2011,T1B30,0.094
2012,T1B30,0.118
2013,T1B30,0.102
1990,T2B24,0.159
1991,T2B24,0.411
1992,T2B24,0.258
1993,T2B24,0.265
1994,T2B24,0.251
1995,T2B24,0.205
1996,T2B24,0.183
1997,T2B24,0.205
1998,T2B24,0.209
1999,T2B24,0.172
2000,T2B24,0.146
2001,T2B24,0.259
2002,T2B24,0.201
2003,T2B24,0.095
2004,T2B24,0.069
2005,T2B24,0.064
2006,T2B24,0.097
2007,T2B24,0.151
2008,T2B24,0.116
2009,T2B24,0.094
2010,T2B24,0.061
2011,T2B24,0.019
2012,T2B24,0.088
2013,T2B24,0.081
1987,T2B30,0.25
1988,T2B30,0.164
1989,T2B30,0.188
1990,T2B30,0.216
1991,T2B30,0.182
1992,T2B30,0.187
1993,T2B30,0.189
1994,T2B30,0.186
1995,T2B30,0.142
1996,T2B30,0.121
1997,T2B30,0.202
1998,T2B30,0.121
1999,T2B30,0.061
2000,T2B30,0.15
2001,T2B30,0.137
2002,T2B30,0.043
2003,T2B30,0.102
2004,T2B30,0.048
2005,T2B30,0.034
2006,T2B30,0.077
2007,T2B30,0.016
2008,T2B30,0.024
2009,T2B30,0.067
2010,T2B30,0.008
2011,T2B30,0.008
2012,T2B30,0.062
2013,T2B30,0.059
1992,T3B6,0.194
1993,T3B6,0.254
1994,T3B6,0.259
1995,T3B6,0.156
1996,T3B6,0.107
1997,T3B6,0.04
1998,T3B6,0.095
1999,T3B6,0.13
2000,T3B6,0.111
2001,T3B6,0.135
2002,T3B6,0.199
2003,T3B6,0.175
2004,T3B6,0.098
2005,T3B6,0.084
2006,T3B6,0.031
2007,T3B6,0.127
2008,T3B6,0.195
2009,T3B6,0.149
2010,T3B6,0.093
2011,T3B6,0.053
2012,T3B6,0.087
2013,T3B6,0.039
1990,T4B12,0.162
1991,T4B12,0.33
1992,T4B12,0.25
1993,T4B12,0.264
1994,T4B12,0.273
1995,T4B12,0.221
1996,T4B12,0.172
1997,T4B12,0.267
1998,T4B12,0.23
1999,T4B12,0.167
2000,T4B12,0.131
2001,T4B12,0.196
2002,T4B12,0.193
2003,T4B12,0.102
2004,T4B12,0.134
2005,T4B12,0.109
2006,T4B12,0.133
2007,T4B12,0.124
2008,T4B12,0.106
2009,T4B12,0.004
2010,T4B12,0.038
2011,T4B12,0.01
2012,T4B12,0.122
2013,T4B12,0.083
1994,T4B18,0.24
1995,T4B18,0.399
1996,T4B18,0.206
1997,T4B18,0.221
1998,T4B18,0.205
1999,T4B18,0.115
2000,T4B18,0.098
2001,T4B18,0.236
2002,T4B18,0.272
2003,T4B18,0.185
2004,T4B18,0.125
2005,T4B18,0.007
2006,T4B18,0.086
2007,T4B18,0.114
2008,T4B18,0.123
2009,T4B18,0.154
2010,T4B18,0.074
2011,T4B18,0.029
2012,T4B18,0.128
2013,T4B18,0.162
1977,T5B12,0.186
1978,T5B12,0.362
1979,T5B12,0.225
1980,T5B12,0.21
1981,T5B12,0.177
1982,T5B12,0.008
1983,T5B12,0.11
1984,T5B12,0.164
1985,T5B12,0.164
1986,T5B12,0.199
1987,T5B12,0.16
1988,T5B12,0.283
1989,T5B12,0.069
1990,T5B12,0.086
1991,T5B12,0.106
1992,T5B12,0.138
1993,T5B12,0.153
1994,T5B12,0.169
1995,T5B12,0.165
1996,T5B12,0.194
1997,T5B12,0.172
1998,T5B12,0.151
1999,T5B12,0.199
2000,T5B12,0.116
2001,T5B12,0.045
2002,T5B12,0.156
2003,T5B12,0.154
2004,T5B12,0.065
2005,T5B12,0.11
2006,T5B12,0.101
2007,T5B12,0.1
2008,T5B12,0.138
2009,T5B12,0.138
2010,T5B12,0.099
2011,T5B12,0.03
2012,T5B12,0.094
2013,T5B12,0.1
1986,T5B18,0.065
1987,T5B18,0.228
1988,T5B18,0.378
1989,T5B18,0.336
1990,T5B18,0.109
1991,T5B18,0.109
1992,T5B18,0.159
1993,T5B18,0.09
1994,T5B18,0.155
1995,T5B18,0.274
1996,T5B18,0.268
1997,T5B18,0.242
1998,T5B18,0.265
1999,T5B18,0.277
2000,T5B18,0.204
2001,T5B18,0.111
2002,T5B18,0.189
2003,T5B18,0.134
2004,T5B18,0.082
2005,T5B18,0.102
2006,T5B18,0.022
2007,T5B18,0.143
2008,T5B18,0.149
2009,T5B18,0.116
2010,T5B18,0.122
2011,T5B18,0.04
2012,T5B18,0.097
2013,T5B18,0.12
