year,disc,ring.width_mm
1989,L2202,0.459
1990,L2202,0.614
1991,L2202,0.458
1992,L2202,0.299
1993,L2202,0.474
1994,L2202,0.421
1995,L2202,0.445
1996,L2202,0.409
1997,L2202,0.458
1998,L2202,0.549
1999,L2202,0.366
2000,L2202,0.238
2001,L2202,0.277
2002,L2202,0.272
2003,L2202,0.242
2004,L2202,0.151
2005,L2202,0.046
2006,L2202,0.333
2007,L2202,0.362
2008,L2202,0.253
2009,L2202,0.203
2010,L2202,0.205
1935,L2292,0.084
1936,L2292,0.168
1937,L2292,0.135
1938,L2292,0.195
1939,L2292,0.081
1940,L2292,0.035
1941,L2292,0.165
1942,L2292,0.064
1943,L2292,0.025
1944,L2292,0.051
1945,L2292,0.097
1946,L2292,0.086
1947,L2292,0.073
1948,L2292,0.068
1949,L2292,0.097
1950,L2292,0.108
1951,L2292,0.081
1952,L2292,0.088
1953,L2292,0.084
1954,L2292,0.076
1955,L2292,0.104
1956,L2292,0.106
1957,L2292,0.028
1958,L2292,0.026
1959,L2292,0.048
1960,L2292,0.007
1961,L2292,0.048
1962,L2292,0.077
1963,L2292,0.074
1964,L2292,0.098
1965,L2292,0.022
1966,L2292,0.054
1967,L2292,0.032
1968,L2292,0.096
1969,L2292,0.048
1970,L2292,0.152
1971,L2292,0.097
1972,L2292,0.065
1973,L2292,0.099
1974,L2292,0.047
1975,L2292,0.05
1976,L2292,0.08
1977,L2292,0.08
1978,L2292,0.15
1979,L2292,0.172
1980,L2292,0.012
1981,L2292,0.085
1982,L2292,0.016
1983,L2292,0.179
1984,L2292,0.259
1985,L2292,0.022
1986,L2292,0.15
1987,L2292,0.085
1988,L2292,0.118
1989,L2292,0.026
1990,L2292,0.064
1991,L2292,0.144
1992,L2292,0.14
1993,L2292,0.125
1994,L2292,0.12
1995,L2292,0.111
1996,L2292,0.115
1997,L2292,0.114
1998,L2292,0.066
1999,L2292,0.072
2000,L2292,0.008
2001,L2292,0.09
2002,L2292,0.088
2003,L2292,0.027
2004,L2292,0.081
2005,L2292,0.028
2006,L2292,0.03
2007,L2292,0.03
2008,L2292,0.073
2009,L2292,0.059
2010,L2292,0.035
1983,L22S,0.319
1984,L22S,0.389
