data,year,date,longitude,latitude,vegType,NDVI
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565892637
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.488216877
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.554256856
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.572597504
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.576555431
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.526879668
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.601970792
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.488557398
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.535535455
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.543232858
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.594325125
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565850973
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.60377574
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.613376796
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.590539515
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.649912894
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.605408609
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.531690419
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.542518675
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.607632935
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.555223048
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.5893929
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.589829385
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.585619926
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.612274051
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.656265616
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.542924047
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.582959533
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.588331819
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.495946527
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.586445093
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.546836078
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565578461
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.573639691
